County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides
"Abbeville County, SC",273649.0,13.0,22.0,43.0,51.0
"Acadia Parish, LA",684322.0,59.0,72.0,72.0,115.0
"Accomack County, VA",361441.0,33.0,43.0,31.0,55.0
"Ada County, ID",4826008.0,37.0,68.0,496.0,872.0
"Adair County, OK",244203.0,12.0,22.0,18.0,36.0
"Adams County, CO",5344418.0,176.0,269.0,421.0,959.0
"Adams County, IL",731311.0,14.0,22.0,47.0,103.0
"Adams County, MS",345978.0,62.0,71.0,40.0,52.0
"Adams County, OH",308200.0,11.0,16.0,44.0,63.0
"Adams County, PA",1122956.0,12.0,20.0,103.0,170.0
"Aiken County, SC",1827156.0,132.0,165.0,243.0,356.0
"Alachua County, FL",2858570.0,87.0,124.0,191.0,366.0
"Alamance County, NC",1756158.0,67.0,92.0,128.0,225.0
"Alameda County, CA",17734192.0,1021.0,1222.0,488.0,1644.0
"Alamosa County, CO",178530.0,,11.0,23.0,49.0
"Albany County, NY",3372456.0,53.0,102.0,99.0,328.0
"Albemarle County, VA",1158246.0,19.0,25.0,82.0,137.0
"Alcorn County, MS",408638.0,33.0,38.0,55.0,82.0
"Alexander County, IL",76034.0,,13.0,,11.0
"Alexander County, NC",409790.0,15.0,21.0,52.0,77.0
"Alexandria city, VA",1678068.0,26.0,46.0,55.0,156.0
"Allegan County, MI",1262014.0,12.0,18.0,99.0,186.0
"Allegany County, MD",797985.0,10.0,25.0,66.0,120.0
"Allegany County, NY",521467.0,,11.0,51.0,79.0
"Allegheny County, PA",13467261.0,919.0,1078.0,828.0,1840.0
"Allen County, IN",4051568.0,284.0,361.0,240.0,503.0
"Allen County, KY",226945.0,10.0,16.0,25.0,45.0
"Allen County, OH",1146263.0,51.0,71.0,73.0,153.0
"Allen Parish, LA",281970.0,,13.0,37.0,57.0
"Allendale County, SC",103524.0,20.0,27.0,,
"Amador County, CA",418568.0,,24.0,71.0,128.0
"Amelia County, VA",141862.0,,12.0,27.0,33.0
"Amherst County, VA",351202.0,,10.0,38.0,53.0
"Amite County, MS",138987.0,10.0,17.0,,12.0
"Anchorage Borough, AK",3245842.0,178.0,260.0,414.0,689.0
"Anderson County, SC",2145833.0,156.0,197.0,286.0,420.0
"Anderson County, TN",835808.0,24.0,30.0,96.0,161.0
"Anderson County, TX",637173.0,20.0,39.0,60.0,165.0
"Androscoggin County, ME",1184459.0,12.0,23.0,97.0,207.0
"Angelina County, TX",961682.0,37.0,56.0,94.0,146.0
"Anne Arundel County, MD",6192241.0,147.0,230.0,306.0,765.0
"Anoka County, MN",3793932.0,43.0,62.0,228.0,525.0
"Anson County, NC",281452.0,38.0,48.0,22.0,37.0
"Apache County, AZ",792648.0,39.0,113.0,86.0,273.0
"Appling County, GA",202625.0,,10.0,18.0,27.0
"Appomattox County, VA",170041.0,14.0,16.0,20.0,30.0
"Aransas County, TX",267437.0,,14.0,63.0,81.0
"Arapahoe County, CO",6854861.0,203.0,318.0,555.0,1189.0
