State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Percent, All Ages",Median Household Income
45,001,SC,Abbeville County,14.8,"49,485"
22,001,LA,Acadia Parish,20.6,"44,648"
51,001,VA,Accomack County,16.2,"50,949"
16,001,ID,Ada County,8.7,"79,345"
19,001,IA,Adair County,10.2,"60,847"
21,001,KY,Adair County,24.2,"42,112"
29,001,MO,Adair County,23.9,"47,619"
40,001,OK,Adair County,20.8,"43,371"
08,001,CO,Adams County,10.0,"80,831"
16,003,ID,Adams County,12.8,"51,829"
17,001,IL,Adams County,11.8,"59,777"
18,001,IN,Adams County,12.6,"62,282"
19,003,IA,Adams County,10.6,"54,403"
28,001,MS,Adams County,25.8,"40,007"
31,001,NE,Adams County,11.7,"57,136"
38,001,ND,Adams County,12.0,"56,364"
39,001,OH,Adams County,18.9,"47,001"
42,001,PA,Adams County,8.6,"72,849"
53,001,WA,Adams County,16.0,"57,405"
55,001,WI,Adams County,15.2,"53,592"
50,001,VT,Addison County,8.4,"79,756"
45,003,SC,Aiken County,15.5,"56,711"
27,001,MN,Aitkin County,10.9,"56,471"
01,000,AL,Alabama,16.3,"53,990"
12,001,FL,Alachua County,19.1,"56,006"
37,001,NC,Alamance County,12.5,"58,847"
06,001,CA,Alameda County,9.4,"108,971"
08,003,CO,Alamosa County,18.3,"51,009"
02,000,AK,Alaska,10.8,"78,437"
36,001,NY,Albany County,11.9,"74,512"
56,001,WY,Albany County,17.7,"53,112"
51,003,VA,Albemarle County,7.0,"91,849"
26,001,MI,Alcona County,12.6,"46,749"
28,003,MS,Alcorn County,17.0,"46,712"
02,013,AK,Aleutians East Borough,18.4,"71,492"
02,016,AK,Aleutians West Census Area,10.4,"86,050"
17,003,IL,Alexander County,21.8,"41,816"
37,003,NC,Alexander County,12.6,"52,989"
51,510,VA,Alexandria city,9.9,"100,877"
40,003,OK,Alfalfa County,16.4,"55,157"
26,003,MI,Alger County,12.6,"54,516"
19,005,IA,Allamakee County,9.9,"60,717"
26,005,MI,Allegan County,9.4,"73,873"
24,001,MD,Allegany County,16.4,"49,236"
36,003,NY,Allegany County,14.6,"55,320"
37,005,NC,Alleghany County,17.8,"45,239"
51,005,VA,Alleghany County,13.3,"49,197"
42,003,PA,Allegheny County,11.3,"68,874"
18,003,IN,Allen County,13.1,"62,680"
20,001,KS,Allen County,16.1,"50,794"
21,003,KY,Allen County,17.1,"51,485"
39,003,OH,Allen County,15.3,"52,518"
22,003,LA,Allen Parish,20.5,"43,192"
45,005,SC,Allendale County,35.4,"31,262"
26,007,MI,Alpena County,15.5,"50,848"
06,003,CA,Alpine County,15.8,"87,570"
06,005,CA,Amador County,11.1,"68,159"
51,007,VA,Amelia County,9.9,"62,884"
51,009,VA,Amherst County,12.4,"57,294"
28,005,MS,Amite County,22.0,"41,927"
02,020,AK,Anchorage Borough,9.5,"86,152"
20,003,KS,Anderson County,12.1,"57,068"
21,005,KY,Anderson County,9.0,"67,773"
45,007,SC,Anderson County,15.9,"58,951"
47,001,TN,Anderson County,14.3,"58,633"
48,001,TX,Anderson County,20.4,"54,515"
29,003,MO,Andrew County,8.7,"63,665"
48,003,TX,Andrews County,11.8,"70,005"
23,001,ME,Androscoggin County,14.0,"61,411"
48,005,TX,Angelina County,18.4,"50,620"
24,003,MD,Anne Arundel County,6.2,"107,281"
27,003,MN,Anoka County,6.8,"88,416"
37,007,NC,Anson County,21.2,"40,773"
31,003,NE,Antelope County,10.0,"57,413"
26,009,MI,Antrim County,10.2,"59,430"
04,001,AZ,Apache County,28.4,"41,002"
19,007,IA,Appanoose County,17.0,"51,222"
13,001,GA,Appling County,18.2,"46,530"
51,011,VA,Appomattox County,11.5,"58,860"
48,007,TX,Aransas County,15.1,"55,435"
08,005,CO,Arapahoe County,8.7,"84,308"
48,009,TX,Archer County,9.6,"69,286"
08,007,CO,Archuleta County,11.4,"68,025"
26,011,MI,Arenac County,14.9,"50,452"
04,000,AZ,Arizona,12.9,"68,967"
05,000,AR,Arkansas,16.0,"52,577"
05,001,AR,Arkansas County,17.7,"50,928"
51,013,VA,Arlington County,7.9,"124,474"
42,005,PA,Armstrong County,11.8,"54,089"
48,011,TX,Armstrong County,9.9,"64,401"
23,003,ME,Aroostook County,14.9,"51,770"
31,005,NE,Arthur County,13.0,"58,677"
22,005,LA,Ascension Parish,11.4,"75,498"
37,009,NC,Ashe County,14.2,"45,551"
39,005,OH,Ashland County,10.9,"59,117"
55,003,WI,Ashland County,14.6,"54,799"
05,003,AR,Ashley County,21.3,"44,030"
39,007,OH,Ashtabula County,15.7,"48,916"
53,003,WA,Asotin County,13.9,"56,438"
22,007,LA,Assumption Parish,19.0,"42,404"
48,013,TX,Atascosa County,16.4,"57,905"
20,005,KS,Atchison County,14.7,"57,445"
29,005,MO,Atchison County,12.5,"54,708"
39,009,OH,Athens County,20.9,"49,023"
13,003,GA,Atkinson County,23.8,"40,303"
34,001,NJ,Atlantic County,15.1,"65,693"
40,005,OK,Atoka County,17.1,"44,489"
28,007,MS,Attala County,22.3,"40,592"
29,007,MO,Audrain County,16.3,"55,262"
19,009,IA,Audubon County,10.2,"69,484"
39,011,OH,Auglaize County,7.9,"64,942"
51,015,VA,Augusta County,8.5,"69,243"
46,003,SD,Aurora County,9.9,"56,110"
48,015,TX,Austin County,10.4,"68,150"
01,001,AL,Autauga County,10.7,"66,444"
37,011,NC,Avery County,17.0,"48,470"
22,009,LA,Avoyelles Parish,30.5,"38,567"
08,009,CO,Baca County,20.3,"44,257"
13,005,GA,Bacon County,23.4,"43,154"
48,017,TX,Bailey County,16.1,"47,375"
12,003,FL,Baker County,16.1,"60,994"
13,007,GA,Baker County,25.9,"44,106"
41,001,OR,Baker County,16.0,"53,107"
01,003,AL,Baldwin County,10.8,"65,658"
13,009,GA,Baldwin County,24.4,"44,685"
21,007,KY,Ballard County,14.4,"53,491"
24,510,MD,Baltimore city,22.9,"54,068"
24,005,MD,Baltimore County,9.8,"80,159"
45,009,SC,Bamberg County,25.9,"37,906"
48,019,TX,Bandera County,11.4,"69,051"
13,011,GA,Banks County,12.8,"60,485"
31,007,NE,Banner County,10.3,"59,863"
16,005,ID,Bannock County,12.9,"60,058"
26,013,MI,Baraga County,15.8,"46,656"
20,007,KS,Barber County,10.8,"56,344"
01,005,AL,Barbour County,23.0,"38,649"
54,001,WV,Barbour County,19.7,"43,545"
38,003,ND,Barnes County,11.2,"61,111"
25,001,MA,Barnstable County,8.0,"82,980"
45,011,SC,Barnwell County,23.0,"42,265"
21,009,KY,Barren County,19.3,"49,245"
55,005,WI,Barron County,9.2,"60,371"
13,013,GA,Barrow County,9.6,"67,646"
26,015,MI,Barry County,8.9,"68,380"
29,009,MO,Barry County,19.0,"47,532"
18,005,IN,Bartholomew County,8.1,"72,458"
20,009,KS,Barton County,14.2,"54,236"
29,011,MO,Barton County,15.5,"46,554"
13,015,GA,Bartow County,11.6,"67,604"
48,021,TX,Bastrop County,11.5,"72,809"
29,013,MO,Bates County,13.7,"54,634"
21,011,KY,Bath County,20.6,"43,410"
51,017,VA,Bath County,11.1,"56,200"
05,005,AR,Baxter County,13.4,"45,116"
12,005,FL,Bay County,13.9,"60,106"
26,017,MI,Bay County,12.6,"56,681"
55,007,WI,Bayfield County,11.6,"63,136"
48,023,TX,Baylor County,17.6,"45,408"
46,005,SD,Beadle County,12.7,"53,648"
16,007,ID,Bear Lake County,9.7,"60,265"
37,013,NC,Beaufort County,20.1,"50,312"
45,013,SC,Beaufort County,11.3,"72,661"
22,011,LA,Beauregard Parish,15.9,"59,550"
40,007,OK,Beaver County,11.6,"60,260"
42,007,PA,Beaver County,11.1,"64,593"
49,001,UT,Beaver County,9.2,"59,437"
30,001,MT,Beaverhead County,12.7,"53,776"
27,005,MN,Becker County,11.3,"67,261"
40,009,OK,Beckham County,18.4,"46,744"
42,009,PA,Bedford County,11.6,"52,984"
47,003,TN,Bedford County,13.4,"55,420"
51,019,VA,Bedford County,8.8,"66,026"
48,025,TX,Bee County,27.1,"45,431"
33,001,NH,Belknap County,7.6,"75,781"
21,013,KY,Bell County,32.1,"31,033"
48,027,TX,Bell County,14.3,"58,878"
39,013,OH,Belmont County,15.9,"50,602"
27,007,MN,Beltrami County,15.3,"60,386"
13,017,GA,Ben Hill County,22.1,"39,863"
16,009,ID,Benewah County,13.7,"53,667"
46,007,SD,Bennett County,31.0,"41,607"
50,003,VT,Bennington County,12.5,"65,185"
38,005,ND,Benson County,26.3,"47,080"
08,011,CO,Bent County,30.0,"37,185"
05,007,AR,Benton County,7.9,"78,974"
18,007,IN,Benton County,10.5,"60,738"
19,011,IA,Benton County,8.4,"78,155"
27,009,MN,Benton County,8.7,"67,048"
28,009,MS,Benton County,19.7,"41,019"
29,015,MO,Benton County,15.6,"51,574"
41,003,OR,Benton County,17.3,"65,419"
47,005,TN,Benton County,18.3,"45,165"
53,005,WA,Benton County,10.6,"77,339"
26,019,MI,Benzie County,9.3,"67,924"
34,003,NJ,Bergen County,7.5,"104,777"
45,015,SC,Berkeley County,10.2,"74,289"
54,003,WV,Berkeley County,9.9,"70,893"
42,011,PA,Berks County,12.9,"68,693"
25,003,MA,Berkshire County,10.9,"60,945"
35,001,NM,Bernalillo County,15.2,"59,723"
13,019,GA,Berrien County,17.2,"46,404"
26,021,MI,Berrien County,16.1,"57,554"
37,015,NC,Bertie County,20.7,"41,280"
02,050,AK,Bethel Census Area,24.6,"54,849"
48,029,TX,Bexar County,14.8,"63,014"
01,007,AL,Bibb County,20.6,"48,454"
13,021,GA,Bibb County,24.5,"47,859"
22,013,LA,Bienville Parish,26.0,"38,093"
30,003,MT,Big Horn County,25.7,"47,179"
56,003,WY,Big Horn County,12.6,"58,697"
27,011,MN,Big Stone County,12.8,"55,635"
38,007,ND,Billings County,10.8,"77,375"
16,011,ID,Bingham County,11.3,"63,576"
19,013,IA,Black Hawk County,13.5,"60,716"
