Notes,County,County Code,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,115,609875,18.9
,"Autauga County, AL",1001,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,78,609875,12.8
,"Autauga County, AL",1001,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,37,609875,6.1
,"Baldwin County, AL",1003,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,444,2250866,19.7
,"Baldwin County, AL",1003,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,281,2250866,12.5
,"Baldwin County, AL",1003,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,163,2250866,7.2
,"Barbour County, AL",1005,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,41,287620,14.3
,"Barbour County, AL",1005,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,30,287620,10.4
,"Barbour County, AL",1005,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,11,287620,Unreliable
,"Bibb County, AL",1007,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,38,248120,15.3
,"Bibb County, AL",1007,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,29,248120,11.7
,"Blount County, AL",1009,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,122,635351,19.2
,"Blount County, AL",1009,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,83,635351,13.1
,"Blount County, AL",1009,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,39,635351,6.1
,"Bullock County, AL",1011,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,11,114915,Unreliable
,"Butler County, AL",1013,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,33,221074,14.9
,"Butler County, AL",1013,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,25,221074,11.3
,"Calhoun County, AL",1015,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,238,1272627,18.7
,"Calhoun County, AL",1015,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,178,1272627,14.0
,"Calhoun County, AL",1015,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,60,1272627,4.7
,"Chambers County, AL",1017,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,76,371869,20.4
,"Chambers County, AL",1017,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,56,371869,15.1
,"Chambers County, AL",1017,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,20,371869,5.4
,"Cherokee County, AL",1019,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,63,286270,22.0
,"Cherokee County, AL",1019,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,41,286270,14.3
,"Cherokee County, AL",1019,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,22,286270,7.7
,"Chilton County, AL",1021,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,79,484168,16.3
,"Chilton County, AL",1021,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,53,484168,10.9
,"Chilton County, AL",1021,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,26,484168,5.4
,"Choctaw County, AL",1023,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,18,144806,Unreliable
,"Choctaw County, AL",1023,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,13,144806,Unreliable
,"Clarke County, AL",1025,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,42,270824,15.5
,"Clarke County, AL",1025,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,30,270824,11.1
,"Clarke County, AL",1025,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,12,270824,Unreliable
,"Clay County, AL",1027,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,31,148303,20.9
