County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides,Poverty %,Poverty % (U18),MedHHInc,PopDen
"Abbeville County, SC",273649.0,13.0,22.0,43.0,51.0,14.8,21.2,"49,485",19.37240492
"Acadia Parish, LA",684322.0,59.0,72.0,72.0,115.0,20.6,28.7,"44,648",36.87236211
"Accomack County, VA",361441.0,33.0,43.0,31.0,55.0,16.2,25.7,"50,949",28.13596811
"Ada County, ID",4826008.0,37.0,68.0,496.0,872.0,8.7,9.1,"79,345",163.7075373
"Adair County, OK",244203.0,12.0,22.0,18.0,36.0,20.8,28.5,"43,371",14.8826669
"Adams County, CO",5344418.0,176.0,269.0,421.0,959.0,10.0,12.9,"80,831",164.5753082
"Adams County, IL",731311.0,14.0,22.0,47.0,103.0,11.8,15.6,"59,777",29.99225904
"Adams County, MS",345978.0,62.0,71.0,40.0,52.0,25.8,36.6,"40,007",26.34483607
"Adams County, OH",308200.0,11.0,16.0,44.0,63.0,18.9,27.5,"47,001",18.43528327
"Adams County, PA",1122956.0,12.0,20.0,103.0,170.0,8.6,11.6,"72,849",75.93345667
"Aiken County, SC",1827156.0,132.0,165.0,243.0,356.0,15.5,22.7,"56,711",60.19984103
"Alachua County, FL",2858570.0,87.0,124.0,191.0,366.0,19.1,16.2,"56,006",116.1122104
"Alamance County, NC",1756158.0,67.0,92.0,128.0,225.0,12.5,17.6,"58,847",146.4195117
"Alameda County, CA",17734192.0,1021.0,1222.0,488.0,1644.0,9.4,9.9,"108,971",860.7570749
"Alamosa County, CO",178530.0,,11.0,23.0,49.0,18.3,23.4,"51,009",8.78669511
"Albany County, NY",3372456.0,53.0,102.0,99.0,328.0,11.9,16.1,"74,512",227.0299683
"Albemarle County, VA",1158246.0,19.0,25.0,82.0,137.0,7.0,8.2,"91,849",56.99600947
"Alcorn County, MS",408638.0,33.0,38.0,55.0,82.0,17.0,23.5,"46,712",35.88420614
"Alexander County, IL",76034.0,,13.0,,11.0,21.8,42.0,"41,816",10.7082503
"Alexander County, NC",409790.0,15.0,21.0,52.0,77.0,12.6,18.3,"52,989",55.12519437
